"Date","Victoria.St.West","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec"
"Thursday, 25 July 2019",164,11,333,352,283,405,92,NA,26,718,481,89,87,36,179,507,309,21,375,17,646,265,30,832,1199,679,90,188,41,955,903,3,28,241,42,196,393,1191,215,600,105,97,270,191
"Friday, 26 July 2019",122,5,263,253,184,314,84,NA,20,592,441,100,92,26,161,454,226,20,338,1,562,257,16,659,975,467,81,88,51,771,773,12,24,226,31,170,369,1045,157,432,70,48,241,167
"Saturday, 27 July 2019",90,10,126,96,286,159,132,NA,29,244,221,43,51,24,61,260,294,8,381,40,341,509,30,319,606,599,132,474,61,649,531,10,23,125,27,206,179,1044,137,555,160,217,136,250
"Sunday, 28 July 2019",78,16,228,85,343,147,105,NA,73,226,320,24,63,25,62,249,354,22,345,26,353,609,13,269,620,806,66,677,35,788,613,17,26,131,39,256,128,1212,114,673,196,319,107,437
"Monday, 29 July 2019",156,6,382,322,234,442,93,NA,36,704,535,110,75,36,203,573,268,13,393,15,809,308,22,864,1401,706,117,208,41,1025,1241,9,30,274,48,208,422,1167,248,522,68,73,290,201
"Tuesday, 30 July 2019",131,36,299,350,223,421,105,NA,34,718,535,119,78,36,183,555,282,16,307,2,697,241,18,787,1189,615,89,216,32,997,1276,6,25,245,42,160,389,1179,193,540,69,82,252,178
"Wednesday, 31 July 2019",146,17,280,297,175,335,100,NA,28,637,447,112,60,39,144,479,401,16,399,4,623,233,23,778,1083,567,78,218,54,855,1107,7,28,200,34,144,335,1022,182,436,52,60,246,145
"Thursday,  1 August 2019",120,6,292,306,181,393,86,NA,28,630,420,103,70,36,172,476,282,10,305,7,672,183,24,800,1040,555,84,190,41,886,1175,6,35,186,39,154,353,1052,166,418,65,93,267,158
"Friday,  2 August 2019",82,1,230,244,137,261,80,NA,44,489,315,95,67,26,158,342,260,14,331,6,480,129,20,592,762,402,64,142,44,663,995,6,15,136,32,91,268,926,123,352,32,44,233,101
"Saturday,  3 August 2019",48,11,80,50,82,72,122,NA,13,110,98,36,52,27,61,132,108,5,116,9,222,122,19,130,196,147,65,96,32,229,310,2,11,47,14,77,107,400,35,178,18,51,80,58
"Sunday,  4 August 2019",38,13,57,30,96,54,105,NA,21,88,76,26,49,25,31,82,116,6,127,9,133,129,10,72,152,176,42,91,30,259,221,6,14,30,6,60,61,404,26,154,43,79,63,62
"Monday,  5 August 2019",68,3,204,205,88,246,90,NA,17,412,309,92,56,36,129,310,164,13,170,0,475,92,12,579,677,323,61,82,35,613,734,2,23,131,12,72,232,681,106,273,25,31,175,69
"Tuesday,  6 August 2019",122,12,286,332,226,378,104,NA,26,651,516,119,60,36,169,474,252,14,334,10,754,172,26,853,1162,644,74,216,53,1007,1091,4,32,225,29,128,345,1160,180,491,75,87,246,168
"Wednesday,  7 August 2019",133,6,297,325,227,370,102,NA,40,649,495,103,79,39,189,511,392,34,406,7,750,299,21,891,1182,590,76,224,46,1005,1308,12,27,249,64,163,350,1031,200,499,68,93,237,196
